"id","name","user_name","user_stars","comment_time","comment_location","content","score","url","is_use"
"55","永不消逝的电波","一花五叶九心莲",,"22/7/2021","南京站","值得多次观看 音乐 情节 表演 非常喜欢","0.99999","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"56","永不消逝的电波","半盏",,"22/7/2021","上海站","很好的剧目，下次有机会想买个好点的位置看","0.999993","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"57","永不消逝的电波","麦子1sWcz",,"22/7/2021","上海站","非常好！强烈推荐！有生之年系列！","0.999992","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"58","永不消逝的电波","喜剧收场",,"21/7/2021","上海站","非常专业的演员，非常震撼的剧情","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"60","永不消逝的电波","麦子0pbZz",,"28/7/2021","上海站","精彩的演出带来的不仅是美的享受，更是精神的满足。剧情跌宕起伏，演绎丝丝入扣，是主旋律舞剧佳品！一定不能错过！","0.999994","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"61","永不消逝的电波","冉舒",,"28/7/2021","成都站","从来没想到看这种没任何词的舞剧，而且是这种主旋律的剧情，居然能把我感动哭?一个一个死去的人默默鞠躬那里，我那一片哭成一团，太好哭了这剧，我哭掉一包纸加一个口罩，这在去之前是万万没想到的，不愧为经典","0.99996","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"62","永不消逝的电波","makyingkit",,"27/7/2021","河源站","终极贝利亚出来的那一刻，感觉还是很震撼的","0.999851","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"63","永不消逝的电波","金熠0",,"27/7/2021","河源站","小朋友很开心","0.999766","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"64","永不消逝的电波","麦子",,"27/7/2021","上海站","哭到心肝肺都疼 演员 编舞 舞台设计 通通完美","0.998393","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"66","永不消逝的电波","麦子01O9e",,"31/7/2021","上海站","令人感动的一场戏","0.999925","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"67","永不消逝的电波","麦子-juliet",,"30/7/2021","上海站","音乐和舞者融为一体 舞者用肢体语言回溯那段 悬崖之上 的历史；我们要珍惜今天的幸福生活 更要努力让国家更强大。 谢谢！","0.999842","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"68","永不消逝的电波","nusnav",,"30/7/2021","上海站","这次是B组。 二刷的意义在于一开始就想哭了（。 整体上还是更喜欢A组的演绎，情感上更为浓厚，但是这个剧不是只靠一两个明星演员撑起来的，是所有演职人员一起孕育出的结晶，所以卡司的影响并不是那么大，因为它所有方面都非常出色，可以说是没有短板。 东艺的场子还是很舒适的，角度偏也没有什么遮挡，唯一遗憾的是没拿到纸质票QAQ","0.999935","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"70","永不消逝的电波","13918675949172",,"30/7/2021","上海站","垃圾主办方，发票到现在还不开","0.0000204246","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"71","永不消逝的电波","麦子eMR",,"30/7/2021","上海站","就一个字，赞","0.99997","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"73","永不消逝的电波","麦子",,"29/7/2021","上海站","值得一看，舞台看故事，美。","0.999992","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
"76","永不消逝的电波","纯度",,"28/7/2021",,"特地从温州赶去上海看的舞剧，看完很是激动，值回票价，不枉我特地赶去欣赏","0.999844","https://m.damai.cn/damai/activity/commentlist/index.html?ipId=996&spm=a2o71.repertoire_ip.basic.evaluate",
